1	1	1	10000
1	1	2 10000
1	1	3	10000
1	2	1	10000
1	2	2	10000
1	2	3	10000
1	3	1	10000
1	3	2	10000
1	3	3	10000
1	4	1	10000
1	4	2	10000
1	4	3	10000
1	5	1	10000
1	5	2	10000
1	5	3	10000
2	1	1	10000
2	1	2	10000
2	1	3	10000
2	1	4	10000
2	1	5	10000
2	1	6	10000
2	1	7	10000
2	2	1	10000
2	2	2	10000
2	2	3	10000
2	2	4	10000
2	2	5	10000
2	2	6	10000
2	2	7	10000
2	3	1	10000
2	3	2	10000
2	3	3	10000
2	3	4	10000
2	3	5	10000
2	3	6	10000
2	3	7	10000
2	4	1	10000
2	4	2	10000
2	4	3	10000
2	4	4	10000
2	4	5	10000
2	4	6	10000
2	4	7	10000
2	5	1	10000
2	5	2	10000
2	5	3	10000
2	5	4	10000
2	5	5	10000
2	5	6	10000
2	5	7	10000
3	1	1	10000
3	1	2	10000
3	1	3	10000
3	1	4	10000
3	1	5	10000
3	1	6	10000
3	2	1	10000
3	2	2	10000
3	2	3	10000
3	2	4	10000
3	2	5	10000
3	2	6	10000
3	3	1	10000
3	3	2	10000
3	3	3	10000
3	3	4	10000
3	3	5	10000
3	3	6	10000
3	4	1	10000
3	4	2	10000
3	4	3	10000
3	4	4	10000
3	4	5	10000
3	4	6	10000
3	5	1	10000
3	5	2	10000
3	5	3	10000
3	5	4	10000
3	5	5	10000
4	1	1	10000
4	1	2	10000
4	1	3	10000
4	1	4	10000
4	1	5	10000
4 1 6 10000
4	2	1	10000
4	2	2	10000
4	2	3	10000
4	2	4	10000
4	2	5	10000
4	2	6	10000
4	3	1	10000
4	3	2	10000
4	3	3	10000
4	3	4	10000
4	3	5	10000
4	3	6	10000
4	4	1	10000
4	4	2	10000
4	4	3	10000
4	4	4	10000
4	4	5	10000
4	4	6	10000
4	5	1	10000
4	5	2	10000
4	5	3	10000
4	5	4	10000
4	5	5	10000
5	1	1	10000
5	1	2	10000
5	2	1	10000
5	2	2	10000
5	3	1	10000
5	3	2	10000
5	4	1	10000
5	4	2	10000
1 6 1 10000
1 6 2 10000
1 6 3 10000
2	6	1	10000
2	6	2	10000
2	6	3	10000
2	6	4	10000
2	6	5	10000
2	6	6	10000
2	6	7	10000
3	6	1	10000
3	6	2	10000
3	6	3	10000
3	6	4	10000
3	6	5	10000
3	6	6	10000
4	6	1	10000
4	6	2	10000
4	6	3	10000
4	6	4	10000
4	6	5	10000
4	6	6	10000
5	6	1	10000
5	6	2 10000
